அ அதி சீக்கிரத்தில் நீங்கிவிடும்,7
அ அன்புள்ள இயேசையா,4
அசைவாடும் ஆவியே தூய்மையின்,8
அடைக்கலமே உமதடிமை,10
அதிசயங்கள் செய்கிறவர் நம்,125
அதிசயமான ஒளிமய நாடாம்,1
அநாதி தேவன் உன் அடைக்க,3
"அருள் ஏராளமாய்ப் பெய்யும்,",2
அர்ப்பணித்தேன் என்னை முற்றி,5
அல்லேலுயா கர்த்தரையே ஏகமாய்,11
அல்லேலுயா சொல்லித் துதிப்போம்,12
அவர் அற்புதமானவரே,210
அவர் எந்தன் சங்கீதமானவர்,122
அழைக்கிறார் அழைக்கிறார் இதோ,111
அழைத்திரே ஏசுவே,9
அற்புத ஜீவியம் ஆகா அற்புதம்,209
அன்பு கூறுவேன் இன்னும்,127
ஆசீர்வதியும் கர்த்தரே ஆனந்த மிகவே,200
ஆண்டவர் இயேசுவின் அருட்,13
ஆத்துமமே என் முழு உள்ளமே,6
ஆயிரம் ஆயிரம் பாடல்களை,19
ஆராதிப்பேன் நான் ஆராதிப்பேன்,112
ஆவியானரே அன்பின் ஆவியானவ,17
ஆவியானவரே ஆவியானவரே,18
ஆனந்தமாய் இன்ப கானான்,15
ஆனந்தமாய் நாமே ஆர்ப்பரிப்போம்,14
ஆனந்தமே பரமானந்தமே,16
ஆனந்தமே! ஜெயா! ஜெயா,160
இதோ மனுஷரின் மத்தியில்,30
இந்த நாளை நான் சமர்ப்பிப்பேன்,181
இயேசு அழைக்கிறார் இயேசு,24
இயேசு எந்தன் வாழ்வின் பெலனானார்,25
இயேசு என்ற திரு நாமத்திற்கு,121
இயேசு கிறிஸ்து மாறாதவரே,205
இயேசு கிறிஸ்துவின் நல் சீடராகுவோம்,26
இயேசு ராஜனின் திருவடிக்கு சரணம்,28
இயேசு ராஜா முன்னே ஓசன்னா கீதம்,131
இயேசு ராஜா வந்திருக்கிறார்,144
இயேசுவின் குடும்பம் ஒன்று உண்டு,165
இயேசுவின் நாமம் இனிதான நாமம்,130
இயேசுவே உம் நாமத்தினால்,199
இயேசுவை நாம் எங்கே காணலாம்,29
இயேசுவை வாழ்க்கையில் காட்டுங்க,27
இருள் சூழும் காலம் இனி,20
இல்லத்தின் தலைவராய் இயேசு,22
இறைவனின் பணியில் இன்றைய,23
இறைவன் இன்று பவனி வந்தால்,145
இனிக்கும் தமிழினில் இயேசுவைப்,21
உம் அழகான கண்கள் என்னை,128
உம் பாதம் பணிந்தேன் எந்நாளும்,120
உம்மால் ஆகாத காரியம் ஒன்று,32
உம்மை ஆராதிப்பேன் உம்மை ஆராதி,184
உம்மைப் போல் யாருண்டு – எந்தன்,167
உம்மோடு இருப்பதுதான் உள்ளத்தின்,137
உயிரோடு எழுந்தவரே,123
உயிர்தெழுந்தாரே அல்லேலூயா ஜெயித்,196
உறக்கம் தெளிவோம் உற்சாகம்,33
உன்றன் சுயமதியே நெறி,152
உன்னதமானவரின் உயர்,31
உன்னை காக்கிறவர் உறங்கார்,176
உன்னை சிருஷ்டித்தவர் உன்னை,178
ஊற்றுத் தண்ணீரே எந்தன்,34
எக்காள சத்தம் வானில்,35
எசு என்ற திரு நாமத்திற்கு,50
எண்ணி எண்ணி துதி செய்வாய்,38
எண்ணில் அடங்கா ஸ்தோத்திரம்,37
எத்தனைகள் நன்மை எனக்கு,36
எந்த காலத்திலும் எந்த நேரத்திலும்,39
எந்தன் அன்புள்ள ஆண்டவர்,41
எந்தன் உள்ளம் தங்கும் இயேசு,42
எந்தன் உள்ளம் புதுக்கவியாலே,43
எந்தன் நாவில் புதுப்பாட்டு,40
எந்தன் ஜெபவேளை உமைத்,44
எனக்காய் ஜீவன் விட்டவரே,47
என் இயேசு ராஜா சாரோனின்,45
என் இயேசு ராஜாவுக்கே,46
என் உள்ளம் தேவன் பால் பொங்கிவழியுதே,208
என் கர்த்தர் செய்ய நினைத்தது,139
என்ன என் ஆனந்தம்! என்ன,158
என்னை உண்டாக்கிய என் தேவாதி,132
என்னை நேசிக்கின்றாயா,48
என்னை மறவா இயேசு நாதா,49
ஏசு கிறிஸ்து நாதர் எல்லாருக்கும,143
ஏழை மனு உருவை எடுத்த,146
"ஐயையா, நான் வந்தேன்",155
ஒப்புக் கொடுத்தீர் ஐயா,117
ஒரு தாய் தேற்றுவது போல்,119
ஒரு வார்த்தை சொல்லும்,134
ஓ! தேவனுக்கு மகிமை!தூக்கியெடுத்தார்,206
"ஓசன்னா பாடுவோம், ஏசுவின்",161
கடல் கொந்தளித்து பொங்க கப்பல்,168
கட்டடம் கட்டிடும் சிற்பிகள்,147
கண்களை ஏறெடுப்பேன் – மா,157
கரையேறி உமதண்டை,148
கர்த்தரின் கை குறுகவில்லை,190
கர்த்தரை நம்பியே ஜீவிப்போம்,51
கர்த்தரைப் போற்றியே வாழ்த்துது,182
கர்த்தர் மேல் பாரத்தை,53
கர்த்தனே எம் துணையானீர்,52
கர்த்தாவே தேவர்களில்,126
கல்யாணமாம் கல்யாணம் கானாவூரு,202
கல்வாரியின் கருணையிதே,54
காக்கும் கரங்கள் உண்டெனக்கு,55
காப்பார் உன்னைக் காப்பார் காத்தவர்,188
காரிருள் வேளையில் கடுங்குளிர்,171
காலத்தின் அருமையை அறிந்து,153
காலமோ செல்லுதே வாலிபமும்,169
காலை நேரம் இன்ப ஜெப,57
காலையும்  மாலையும் எவ்வேளை,56
கிருபை புரிந்தெனை ஆள்  - நீ,154
கிருபை! எம்மை சூழ்ந்து கொள்ளு,60
கிருபையிதே தேவ கிருபையிதே,61
கீதம் கீதம் ஜெய ஜெய கீதம்,164
குதாகலம் கொண்டாட்டமே,59
குயவனே! குயவனே!,58
கூடாதது ஒன்றுமில்லையே,133
கோடாகோடி ஸ்தோத்திரம்,62
சத்தாய் நிஷ்களமாய் ஒருசாமிய,159
சத்திய வேதம் பக்தரின் கீதம்,197
சந்தோஷ கீதம் என்னில்,149
சந்தோஷம் பொங்குதே சந்தோஷம்,64
சர்வ சிருஷ்டிக்கும் எஜமானன் நீரே,63
சிங்கக் குட்டிகள் பட்டினி,66
சிலுவை சுமந்த உருவம்,195
சிலுவையின் நிழலில் அனுதினம்,65
சீயோனே! கெம்பீரி! சாலேமே! நீ,191
சூரியன் மறந்து அந்தகாரம் சூழ்ந்தது,194
சேனைகளின் கர்த்தர் நல்லவரே,67
சோர்ந்து போகாதே மனமே,183
தந்தானைத் துதிப்போமே,151
தந்தேன் என்னை இயேசுவே,69
தம் கிருபை பெரிதல்லோ,68
தாய்போல தேற்றி தந்தை,175
தாவீதைப் போல நடனமாடி,70
திருக்கரத்தால் தாங்கியென்னை,71
திருப்பாதம் நம்பி வந்தேன்,72
தீய மனதை மாற்ற வாரும்,156
துதி செய் மனமே துதி செய்,73
துதி துதி என் மனமே துதிகட்குள்,185
துதித்துப் பாடிட பாத்திரமே,74
தூயாதி தூயரே உமது,75
"தெய்வன்பின் வெள்ளமே, திரு",162
தேவ கிருபை என்று முள்ளதே,76
தேவ சாயல் ஆக மாறி,79
தேவ சித்தம் நிறைவேற,78
தேவ தேவனைத் துதித்திடுவோம்,180
"தேவனே, இயேசு நாதனே",166
தேவா நான் எதினால் விசேஷித்தவ,124
தேவா பிரசன்னம் தாருமே,77
தோத்திரம் இயேசுநாதா உம,80
தோத்திரம் செய்வேனே,81
தோத்திரம் பாடியே போற்றி,82
நம் தேவன் அன்புள்ளவர்,84
நல்லாவி ஊற்றும் தேவா,85
நன்றி என்று சொல்லுகிறோம் நாதா,129
நன்றியால் துதிபாடு உன்,83
நன்றியால் பாடிடுவோம்,179
நன்றியோடு நான் துதி பாடுவேன்,189
நானுமக்குச் சொந்தமானவன்,86
நானும் என் வீட்டாருமோ,88
நான் பிரமித்து நின்று பேரன்பின்,87
நிகரே இல்லாத சர்வேசா,89
நீ இல்லாத நாளெல்லாம்,177
நீர் இல்லாத நாளெல்லாம் நாளாகுமா,135
நேசரே உம் திருப்பாதம் அமர்ந்தேன்,90
பரலோகமே என் சொந்தமே,198
பரிசுத்தம் பெற வந்தீட்டீர்களா,91
பரிசுத்தர்  கூட்டம் நடுவில்,92
பலிபீடத்தில் என்னை பரனே,93
பாதை தெரியாத ஆட்டைப்,94
பாரீர் கெத்சமெனே பூங்காவில்,163
பாவங்கள் போக்கவே சாபங்கள் நீக்கவே,204
பாவம் என்னைத் தொடர்ந்தாலும்,95
பாவம் பெருகுதே பாரும் பரன்,173
பிதாவே ஆராதிக்கின்றோம்,113
பிரியமானவனே உன் ஆத்துமா,96
பிறர் வாழ வேண்டுமெனில்,97
புதுவாழ்வு நமக்கு புதுவாழ்வு,98
பூவின் நற்கந்தம் வீசும்சோலை,192
பெலன் கொடுப்பவரால்,207
போற்றித் துதிப்போம் எம் தேவ,99
போற்றுவோமே போற்றுவோமே,100
மகிமை உமக்கன்றோ,116
மகிழ்வோம் மகிழ்வோம் தினம்,108
மங்களம் செழிக்க கிருபை அருளும்,201
மணவாழ்வு புவி வாழ்வினில் வாழ்வு,203
மந்தையில் சேரா ஆடுகளே,170
மலைகள் விலகிப்போனாலும்,140
மனம் மிசைந்து அனைவரும்,107
மாறிடா எம் மா நேசரே- ஆ மாறாதவர்,186
மான்கள் நீரோடை வாஞ்சித்து,141
யெகோவா யீரே தந்தையாம்,138
"ரட்சா பெருமானே, பாரும்",172
ராஜா உம் பிரச்னனம் போது,136
ராஜா நீர் செய்த நன்மைகள்,187
லேசான காரியம் – உமக்கது,174
வருகின்றார் - இறைவன் – வருகி,102
வருவாய் தருணமிதுவே,101
வல்லமை தேவை தேவா,103
வாசலண்டை நிற்கும் நேசரை,104
வாசலண்டை நின்று ஆசையாய் தட்டும்,193
வாதை உந்தன கூடாரத்தை,115
வாரும் நாம் எல்லோரும் கூடி,142
வாழ்வழிக்கின்றார் இயேசு,105
விண்ணப்பத்தைக் கேட்பவரே,118
விந்தை கிறிஸ்தேசு ராஜா,106
ஜீவனுள்ள தேவனே வாரும்,109
ஜெபத்தைக் கேட்கும் எங்கள்,110
ஜெயம் கொடுக்கும் தேவனுக்கு,150
ஸ்தோத்திரம் துதி பாத்திரா,114
